Date,High,Low,Open,Close,Volume,Adj Close
2021-03-30,11138.1103515625,11079.8798828125,11110.6396484375,11121.419921875,79382900.0,11121.419921875
2021-03-31,11123.259765625,11047.01953125,11114.8896484375,11047.3701171875,76397500.0,11047.3701171875
2021-04-01,11141.2001953125,11080.5595703125,11102.2900390625,11118.0302734375,53530400.0,11118.0302734375
2021-04-06,11213.7900390625,11142.669921875,11170.599609375,11182.9501953125,80579800.0,11182.9501953125
2021-04-07,11163.33984375,11108.330078125,11147.3701171875,11128.1796875,53400300.0,11128.1796875
2021-04-08,11206.8798828125,11128.669921875,11129.1396484375,11206.8798828125,45600000.0,11206.8798828125
2021-04-09,11247.009765625,11190.7001953125,11206.849609375,11238.51953125,59491200.0,11238.51953125
2021-04-12,11238.3798828125,11166.3203125,11220.76953125,11181.349609375,43543800.0,11181.349609375
2021-04-13,11180.9599609375,11094.83984375,11174.080078125,11122.3701171875,49992700.0,11122.3701171875
2021-04-14,11182.330078125,11121.8701171875,11135.6904296875,11156.2099609375,54605000.0,11156.2099609375
2021-04-15,11226.25,11156.5595703125,11160.900390625,11198.7001953125,51925500.0,11198.7001953125
2021-04-16,11262.9697265625,11169.009765625,11198.580078125,11262.9697265625,60213200.0,11262.9697265625
2021-04-19,11266.7802734375,11183.5595703125,11245.009765625,11209.83984375,47832700.0,11209.83984375
2021-04-20,11216.349609375,11065.8701171875,11203.080078125,11078.98046875,53953700.0,11078.98046875
2021-04-21,11229.150390625,11117.6201171875,11119.4404296875,11209.08984375,57623700.0,11209.08984375
2021-04-22,11254.91015625,11197.5400390625,11214.23046875,11224.900390625,99097900.0,11224.900390625
2021-04-23,11217.8896484375,11130.3095703125,11211.91015625,11200.5400390625,60883900.0,11200.5400390625
2021-04-26,11201.7998046875,11131.1904296875,11194.400390625,11162.08984375,54299300.0,11162.08984375
2021-04-27,11178.419921875,11068.23046875,11147.580078125,11092.080078125,61400400.0,11092.080078125
2021-04-28,11126.6904296875,11070.7197265625,11106.8203125,11103.4599609375,50802200.0,11103.4599609375
2021-04-29,11162.2001953125,11064.2802734375,11137.1796875,11079.509765625,49377400.0,11079.509765625
2021-04-30,11123.349609375,11022.33984375,11103.990234375,11022.33984375,48384300.0,11022.33984375
2021-05-03,11148.0595703125,11056.7099609375,11072.5400390625,11119.0,34465500.0,11119.0
2021-05-04,11144.830078125,10959.7802734375,11123.4404296875,10970.9296875,49994300.0,10970.9296875
2021-05-06,11139.6298828125,11062.6904296875,11129.849609375,11111.099609375,49963800.0,11111.099609375
2021-05-07,11173.5703125,11106.419921875,11140.830078125,11173.5703125,47442300.0,11173.5703125
2021-05-10,11159.080078125,11086.98046875,11157.759765625,11123.669921875,40932200.0,11123.669921875
2021-05-12,11069.240234375,10981.7998046875,11014.330078125,11033.900390625,47616100.0,11033.900390625
2021-05-14,11129.8701171875,11066.599609375,11101.48046875,11120.76953125,41027200.0,11120.76953125
2021-05-17,11163.990234375,11084.51953125,11133.2998046875,11135.3701171875,39926000.0,11135.3701171875
2021-05-18,11205.6904296875,11116.2998046875,11178.4697265625,11141.75,36718300.0,11141.75
2021-05-19,11099.5400390625,10993.7197265625,11060.740234375,11045.2001953125,46757000.0,11045.2001953125
2021-05-20,11152.080078125,11054.419921875,11091.3203125,11152.080078125,42271500.0,11152.080078125
2021-05-21,11239.2001953125,11138.900390625,11205.8095703125,11225.580078125,43988800.0,11225.580078125
2021-05-26,11382.3203125,11310.419921875,11325.419921875,11348.740234375,40702000.0,11348.740234375
2021-05-27,11408.6103515625,11321.1103515625,11341.1904296875,11340.26953125,77076000.0,11340.26953125
2021-05-28,11443.9697265625,11326.75,11345.400390625,11426.150390625,40919400.0,11426.150390625
2021-06-01,11501.349609375,11389.8798828125,11415.2001953125,11434.8798828125,38214700.0,11434.8798828125
2021-06-02,11495.3095703125,11455.5400390625,11455.7900390625,11470.349609375,32650400.0,11470.349609375
2021-06-03,11510.599609375,11424.8095703125,11445.7998046875,11510.599609375,31906400.0,11510.599609375
2021-06-04,11570.6796875,11505.2099609375,11514.9501953125,11570.6796875,29857200.0,11570.6796875
2021-06-07,11641.3095703125,11530.6396484375,11535.8798828125,11630.66015625,29567100.0,11630.66015625
2021-06-08,11702.919921875,11647.0498046875,11664.23046875,11656.8896484375,42707900.0,11656.8896484375
2021-06-09,11788.099609375,11630.509765625,11639.599609375,11788.099609375,36219900.0,11788.099609375
2021-06-11,11873.6298828125,11783.41015625,11798.98046875,11841.2998046875,35631000.0,11841.2998046875
2021-06-14,11895.5400390625,11837.8896484375,11871.1298828125,11866.41015625,30023700.0,11866.41015625
2021-06-15,11963.599609375,11892.4697265625,11902.5400390625,11921.9697265625,34317900.0,11921.9697265625
2021-06-16,11995.8203125,11923.3095703125,11935.259765625,11982.0302734375,43487400.0,11982.0302734375
2021-06-17,12017.759765625,11914.51953125,11943.7099609375,12011.1103515625,53742700.0,12011.1103515625
2021-06-18,12072.1103515625,11930.98046875,12023.2802734375,11941.25,148055100.0,11941.25
2021-06-21,11995.6298828125,11874.1103515625,11882.5400390625,11995.6298828125,39384200.0,11995.6298828125
2021-06-22,11991.3095703125,11913.4404296875,11983.259765625,11982.48046875,34162400.0,11982.48046875
2021-06-23,11988.0,11898.6201171875,11965.08984375,11898.6201171875,37293700.0,11898.6201171875
2021-06-24,12010.58984375,11925.91015625,11929.91015625,11993.6396484375,39141800.0,11993.6396484375
2021-06-25,12003.6904296875,11970.4404296875,11974.5302734375,11999.7001953125,32556100.0,11999.7001953125
2021-06-28,12035.9501953125,11986.8798828125,11997.6396484375,12009.169921875,30879200.0,12009.169921875
2021-06-29,12071.2900390625,12012.41015625,12015.580078125,12028.4501953125,32486000.0,12028.4501953125
2021-06-30,12034.919921875,11931.48046875,12022.5703125,11942.7197265625,37611300.0,11942.7197265625
2021-07-01,12015.66015625,11901.8603515625,11993.98046875,11977.0302734375,29583100.0,11977.0302734375
2021-07-02,12061.580078125,11939.8203125,12023.4599609375,11964.83984375,30848200.0,11964.83984375
2021-07-06,12025.4404296875,11933.4697265625,11959.6904296875,11965.2197265625,30616700.0,11965.2197265625
2021-07-07,12085.509765625,11990.4697265625,11990.4697265625,12085.509765625,34846200.0,12085.509765625
2021-07-08,12035.509765625,11863.8095703125,12034.51953125,11924.66015625,46662900.0,11924.66015625
2021-07-09,12005.4501953125,11935.490234375,11949.9697265625,11989.8095703125,38359200.0,11989.8095703125
2021-07-12,12081.6201171875,11959.9296875,11979.8603515625,12081.6201171875,30658300.0,12081.6201171875
2021-07-13,12078.919921875,12019.8603515625,12061.080078125,12071.0498046875,30458200.0,12071.0498046875
2021-07-14,12060.4599609375,11985.7900390625,12038.8095703125,12043.349609375,28712900.0,12043.349609375
2021-07-15,12059.6298828125,11960.6298828125,12025.48046875,11976.7900390625,32426200.0,11976.7900390625
2021-07-16,12057.0302734375,11969.6298828125,12022.5498046875,12026.5,34846300.0,12026.5
2021-07-19,11979.3203125,11799.23046875,11957.3701171875,11862.080078125,49569500.0,11862.080078125
2021-07-20,11985.8896484375,11900.2001953125,11929.3203125,11945.6796875,44864000.0,11945.6796875
2021-07-21,12048.5498046875,11983.23046875,12020.2900390625,12021.580078125,43445000.0,12021.580078125
2021-07-22,12060.16015625,11927.6201171875,12056.3896484375,11977.0,35470900.0,11977.0
2021-07-23,12142.599609375,12016.169921875,12033.0400390625,12130.830078125,30945700.0,12130.830078125
2021-07-26,12099.1796875,12027.4697265625,12099.1796875,12049.6298828125,32066900.0,12049.6298828125
2021-07-27,12043.3798828125,11940.7998046875,12002.830078125,12021.08984375,29190200.0,12021.08984375
2021-07-28,12080.150390625,12032.9697265625,12055.9697265625,12073.23046875,26441600.0,12073.23046875
2021-07-29,12115.5595703125,12024.3701171875,12033.5400390625,12086.740234375,45240200.0,12086.740234375
2021-07-30,12146.6796875,11998.580078125,12005.91015625,12116.8203125,40744000.0,12116.8203125
2021-08-02,12194.3701171875,12124.3603515625,12165.2099609375,12171.01953125,34491000.0,12171.01953125
2021-08-03,12215.6201171875,12139.8095703125,12170.1396484375,12163.2197265625,31881900.0,12163.2197265625
2021-08-04,12214.1904296875,12169.8896484375,12201.9697265625,12178.740234375,29660400.0,12178.740234375
2021-08-05,12211.6298828125,12167.240234375,12185.8701171875,12199.8203125,29806400.0,12199.8203125
2021-08-06,12215.580078125,12149.6796875,12198.400390625,12176.2998046875,32601400.0,12176.2998046875
2021-08-09,12321.3701171875,12211.51953125,12211.7099609375,12310.75,24012500.0,12310.75
2021-08-10,12382.7099609375,12305.2998046875,12305.4599609375,12361.6904296875,26956900.0,12361.6904296875
2021-08-11,12426.150390625,12361.490234375,12385.4404296875,12387.900390625,28623600.0,12387.900390625
2021-08-12,12443.58984375,12405.8095703125,12412.41015625,12429.169921875,27423800.0,12429.169921875
2021-08-13,12478.66015625,12442.0703125,12452.0,12464.4404296875,21459200.0,12464.4404296875
2021-08-16,12442.7802734375,12376.0595703125,12431.5302734375,12419.1396484375,31025600.0,12419.1396484375
2021-08-17,12496.9501953125,12392.66015625,12412.009765625,12477.4404296875,28522200.0,12477.4404296875
2021-08-18,12573.4296875,12456.919921875,12458.3701171875,12545.349609375,30905500.0,12545.349609375
2021-08-19,12453.6103515625,12296.9501953125,12453.1103515625,12403.580078125,41872700.0,12403.580078125
2021-08-20,12427.2998046875,12327.2900390625,12409.919921875,12415.66015625,34594300.0,12415.66015625
2021-08-23,12490.509765625,12423.73046875,12483.91015625,12476.8701171875,24797300.0,12476.8701171875
2021-08-24,12524.099609375,12409.1298828125,12505.9697265625,12436.66015625,28337000.0,12436.66015625
2021-08-25,12447.419921875,12325.8095703125,12436.5400390625,12364.5703125,32918900.0,12364.5703125
2021-08-26,12424.25,12329.76953125,12344.490234375,12409.0302734375,25313600.0,12409.0302734375
2021-08-27,12453.1201171875,12381.7900390625,12390.419921875,12439.0,23217600.0,12439.0
2021-08-30,12444.58984375,12404.349609375,12419.8701171875,12436.580078125,21042600.0,12436.580078125
2021-08-31,12494.650390625,12398.33984375,12457.4404296875,12411.1103515625,55904300.0,12411.1103515625
2021-09-01,12491.1796875,12415.7998046875,12472.0400390625,12432.7900390625,36177600.0,12432.7900390625
2021-09-02,12469.26953125,12424.75,12440.51953125,12432.4599609375,27198900.0,12432.4599609375
2021-09-03,12436.2099609375,12296.1201171875,12432.0400390625,12351.83984375,30421300.0,12351.83984375
2021-09-06,12448.4501953125,12378.919921875,12383.259765625,12430.23046875,26128800.0,12430.23046875
2021-09-07,12420.330078125,12322.6796875,12420.330078125,12344.3798828125,32887900.0,12344.3798828125
2021-09-08,12255.8896484375,12155.6298828125,12251.0400390625,12215.1396484375,38254100.0,12215.1396484375
2021-09-09,12189.6796875,12108.1904296875,12157.669921875,12116.4296875,38788900.0,12116.4296875
2021-09-10,12158.9296875,12049.9404296875,12128.26953125,12060.6396484375,31418500.0,12060.6396484375
2021-09-13,12168.51953125,12074.8095703125,12088.6298828125,12074.8095703125,30952600.0,12074.8095703125
2021-09-14,12129.73046875,12053.2001953125,12077.400390625,12097.2802734375,33220900.0,12097.2802734375
2021-09-15,12091.599609375,11977.990234375,12091.599609375,11984.830078125,44452500.0,11984.830078125
2021-09-16,12099.259765625,12024.669921875,12031.16015625,12028.4404296875,36687600.0,12028.4404296875
2021-09-17,12128.7099609375,11929.6103515625,12116.6396484375,11935.5302734375,93998000.0,11935.5302734375
2021-09-20,11818.419921875,11643.419921875,11787.1796875,11766.419921875,74303700.0,11766.419921875
2021-09-21,11845.8798828125,11765.4404296875,11793.8095703125,11789.169921875,45103700.0,11789.169921875
2021-09-22,11876.8896484375,11797.990234375,11855.5703125,11837.5703125,43330100.0,11837.5703125
2021-09-23,11978.419921875,11905.0,11930.6796875,11938.6201171875,32377900.0,11938.6201171875
2021-09-24,11928.509765625,11805.509765625,11907.8203125,11817.2001953125,29207200.0,11817.2001953125
2021-09-27,11881.6103515625,11691.1796875,11880.509765625,11691.1796875,37626400.0,11691.1796875
2021-09-28,11663.4599609375,11465.58984375,11652.240234375,11485.580078125,42850400.0,11485.580078125
2021-09-29,11656.3603515625,11571.0,11592.990234375,11628.330078125,35365100.0,11628.330078125
2021-09-30,11734.6103515625,11586.2998046875,11726.419921875,11642.4501953125,41747000.0,11642.4501953125
2021-10-01,11581.9296875,11450.66015625,11491.080078125,11575.3701171875,39389900.0,11575.3701171875
2021-10-04,11641.599609375,11536.490234375,11537.419921875,11582.349609375,33456200.0,11582.349609375
2021-10-05,11617.3203125,11550.01953125,11553.5302734375,11587.0,31282300.0,11587.0
2021-10-06,11577.8095703125,11381.740234375,11530.349609375,11569.3896484375,36402800.0,11569.3896484375
2021-10-07,11771.7099609375,11677.9404296875,11688.4501953125,11763.6396484375,43403500.0,11763.6396484375
2021-10-08,11770.150390625,11690.5498046875,11751.169921875,11764.990234375,34056300.0,11764.990234375
2021-10-11,11779.73046875,11699.169921875,11743.8203125,11771.5703125,25855900.0,11771.5703125
2021-10-12,11803.8203125,11645.4296875,11665.0400390625,11756.759765625,27957400.0,11756.759765625
2021-10-13,11827.9404296875,11677.8701171875,11711.009765625,11814.58984375,35664600.0,11814.58984375
2021-10-14,11892.51953125,11786.25,11849.7197265625,11892.51953125,35804600.0,11892.51953125
2021-10-15,11970.6298828125,11876.900390625,11910.4501953125,11961.33984375,37327000.0,11961.33984375
2021-10-18,11980.169921875,11916.4296875,11949.8203125,11968.080078125,26580300.0,11968.080078125
2021-10-19,11975.0498046875,11862.990234375,11972.5,11942.740234375,29007700.0,11942.740234375
2021-10-20,12062.2001953125,11995.2001953125,12002.01953125,12013.150390625,34986100.0,12013.150390625
2021-10-21,12053.0,11959.4501953125,11959.4501953125,12039.1396484375,34876200.0,12039.1396484375
2021-10-22,12073.4697265625,12020.990234375,12036.490234375,12056.2099609375,27404400.0,12056.2099609375
2021-10-25,12063.169921875,11992.849609375,12051.3203125,12063.169921875,31718800.0,12063.169921875
2021-10-26,12146.51953125,12084.7998046875,12124.759765625,12146.51953125,37680600.0,12146.51953125
2021-10-27,12141.01953125,12075.8701171875,12135.099609375,12087.4501953125,34644000.0,12087.4501953125
2021-10-28,12153.099609375,12064.2099609375,12075.669921875,12153.099609375,37475500.0,12153.099609375
2021-10-29,12109.3896484375,12041.83984375,12097.9599609375,12108.169921875,39522300.0,12108.169921875
2021-11-01,12216.330078125,12133.759765625,12174.919921875,12216.330078125,48052200.0,12216.330078125
2021-11-02,12321.0,12191.75,12208.33984375,12321.0,32714300.0,12321.0
2021-11-03,12383.26953125,12277.3203125,12312.1904296875,12383.26953125,42025200.0,12383.26953125
2021-11-04,12512.1201171875,12400.08984375,12496.76953125,12403.0498046875,48899900.0,12403.0498046875
2021-11-05,12470.1298828125,12321.26953125,12386.2099609375,12321.849609375,39793500.0,12321.849609375
2021-11-08,12392.4404296875,12327.6201171875,12349.759765625,12353.349609375,31395800.0,12353.349609375
2021-11-09,12410.5498046875,12315.08984375,12324.919921875,12367.51953125,32268300.0,12367.51953125
2021-11-10,12427.6396484375,12361.1298828125,12371.490234375,12401.400390625,34502000.0,12401.400390625
2021-11-11,12462.6201171875,12348.1796875,12354.3896484375,12421.080078125,31407600.0,12421.080078125
2021-11-12,12516.0498046875,12418.66015625,12418.66015625,12516.0498046875,32992300.0,12516.0498046875
2021-11-15,12544.3701171875,12485.849609375,12492.73046875,12517.1201171875,25646200.0,12517.1201171875
2021-11-16,12574.48046875,12482.349609375,12505.240234375,12557.33984375,35364800.0,12557.33984375
2021-11-17,12605.6904296875,12533.9404296875,12555.83984375,12600.150390625,37959300.0,12600.150390625
2021-11-18,12625.8095703125,12537.599609375,12622.83984375,12553.1904296875,35809000.0,12553.1904296875
2021-11-19,12622.91015625,12543.1103515625,12577.0703125,12545.009765625,52953700.0,12545.009765625
2021-11-22,12571.75,12491.25,12535.099609375,12510.8095703125,39452500.0,12510.8095703125
2021-11-23,12458.6904296875,12336.8603515625,12458.6904296875,12366.73046875,40782300.0,12366.73046875
2021-11-24,12424.75,12336.7998046875,12396.650390625,12395.7197265625,32061100.0,12395.7197265625
2021-11-25,12468.16015625,12410.8896484375,12428.33984375,12449.6796875,20899800.0,12449.6796875
2021-11-26,12304.5703125,12157.5,12161.0,12199.2099609375,60308000.0,12199.2099609375
2021-11-29,12285.7998046875,12193.759765625,12223.259765625,12220.740234375,42208700.0,12220.740234375
2021-11-30,12234.830078125,12071.669921875,12145.1201171875,12159.6904296875,100668400.0,12159.6904296875
2021-12-01,12292.8603515625,12139.240234375,12207.759765625,12266.4599609375,37654500.0,12266.4599609375
2021-12-02,12211.1201171875,12093.3701171875,12207.5595703125,12177.51953125,41804300.0,12177.51953125
2021-12-03,12296.08984375,12146.099609375,12234.5400390625,12175.76953125,38486500.0,12175.76953125
2021-12-06,12407.990234375,12230.7001953125,12276.1904296875,12375.349609375,41649900.0,12375.349609375
2021-12-07,12531.7099609375,12436.16015625,12457.9599609375,12513.6201171875,42630100.0,12513.6201171875
2021-12-08,12687.849609375,12573.6201171875,12579.9599609375,12597.4296875,36864500.0,12597.4296875
2021-12-09,12639.41015625,12572.0498046875,12620.2197265625,12607.6298828125,30061800.0,12607.6298828125
2021-12-10,12637.240234375,12520.7900390625,12572.0595703125,12607.73046875,27548100.0,12607.73046875
2021-12-13,12637.2099609375,12551.2802734375,12607.830078125,12551.2802734375,38956500.0,12551.2802734375
2021-12-14,12619.9599609375,12411.580078125,12607.8095703125,12411.580078125,32956900.0,12411.580078125
2021-12-15,12533.7197265625,12432.1396484375,12435.9404296875,12530.9501953125,35515900.0,12530.9501953125
2021-12-16,12823.2998046875,12692.25,12704.91015625,12790.8896484375,49866400.0,12790.8896484375
2021-12-17,12787.7197265625,12652.2802734375,12787.7197265625,12715.48046875,88796700.0,12715.48046875
2021-12-20,12622.9296875,12467.7197265625,12548.2099609375,12589.8896484375,44341500.0,12589.8896484375
2021-12-21,12706.8603515625,12624.1396484375,12675.58984375,12682.5302734375,35391800.0,12682.5302734375
2021-12-22,12713.900390625,12601.509765625,12681.400390625,12713.900390625,23737300.0,12713.900390625
2021-12-23,12787.9599609375,12695.58984375,12717.330078125,12785.3203125,25194700.0,12785.3203125
2021-12-27,12893.3896484375,12742.1298828125,12742.73046875,12866.900390625,17421800.0,12866.900390625
2021-12-28,12977.2099609375,12885.509765625,12888.5302734375,12970.5302734375,16142900.0,12970.5302734375
2021-12-29,12966.2998046875,12877.990234375,12953.3203125,12926.5595703125,17872600.0,12926.5595703125
2021-12-30,12980.1396484375,12875.66015625,12925.6904296875,12875.66015625,20457100.0,12875.66015625
